Species,Trait,GBLUP_PA_wiser,GBLUP_PA_ls_means,GBLUP_PA_blups
Rice,FL,0.74 (0.05),0.41 (0.12),0.21 (0.11)
Rice,PH,0.73 (0.08),0.51 (0.09),0.42 (0.09)
Rice,YLD,0.62 (0.08),0.49 (0.11),0.42 (0.10)
Rice,ZN,0.69 (0.05),0.36 (0.16),0.26 (0.19)
