Species,Trait,GBLUP_h2_wiser,GBLUP_h2_ls_means,GBLUP_h2_blups
Rice,FL,0.87 (0.02),0.53 (0.06),0.00 (0.00)
Rice,PH,0.86 (0.03),0.76 (0.03),0.70 (0.05)
Rice,YLD,0.82 (0.04),0.73 (0.05),0.68 (0.06)
Rice,ZN,0.84 (0.03),0.55 (0.10),0.42 (0.17)
