Species,Trait,RF_PA_wiser,SVR_PA_wiser,GBLUP_PA_wiser,RKHS_PA_wiser,LASSO_PA_wiser,RF_PA_ls_means,SVR_PA_ls_means,GBLUP_PA_ls_means,RKHS_PA_ls_means,LASSO_PA_ls_means,RF_PA_blups,SVR_PA_blups,GBLUP_PA_blups,RKHS_PA_blups,LASSO_PA_blups,RF_PA_blups_pca,SVR_PA_blups_pca,GBLUP_PA_blups_pca,RKHS_PA_blups_pca,LASSO_PA_blups_pca
Pine,D,0.59 (0.11),0.66 (0.11),0.66 (0.10),0.66 (0.10),0.47 (0.15),0.06 (0.18),0.06 (0.18),0.08 (0.19),0.09 (0.16),0.05 (0.21),0.10 (0.15),0.14 (0.16),0.14 (0.17),0.13 (0.17),-0.05 (0.16),0.07 (0.19),0.12 (0.19),0.11 (0.19),0.10 (0.20),-0.00 (0.20)
Pine,H,0.69 (0.10),0.74 (0.08),0.72 (0.08),0.72 (0.07),0.58 (0.12),0.28 (0.18),0.25 (0.16),0.18 (0.17),0.12 (0.16),-0.10 (0.14),0.38 (0.20),0.35 (0.17),0.31 (0.16),0.22 (0.17),-0.02 (0.22),0.35 (0.20),0.30 (0.18),0.23 (0.18),0.15 (0.20),0.11 (0.20)
Pine,I,0.41 (0.25),0.38 (0.20),0.35 (0.25),0.23 (0.26),0.09 (0.22),0.18 (0.26),0.18 (0.23),0.10 (0.21),0.02 (0.26),-0.16 (0.16),0.36 (0.23),0.34 (0.20),0.31 (0.20),0.20 (0.23),0.02 (0.21),0.26 (0.17),0.26 (0.20),0.20 (0.20),0.06 (0.21),-0.07 (0.16)
Pine,T4,0.34 (0.18),0.41 (0.19),0.39 (0.22),0.40 (0.23),0.23 (0.22),0.20 (0.19),0.26 (0.19),0.24 (0.18),0.26 (0.20),0.09 (0.14),0.26 (0.20),0.34 (0.22),0.32 (0.20),0.32 (0.21),0.16 (0.18),0.23 (0.25),0.33 (0.24),0.30 (0.23),0.30 (0.24),0.18 (0.21)
Pine,T5,0.26 (0.27),0.28 (0.25),0.26 (0.25),0.32 (0.26),0.35 (0.21),0.17 (0.25),0.16 (0.25),0.14 (0.22),0.15 (0.26),0.08 (0.21),0.23 (0.26),0.26 (0.26),0.26 (0.24),0.28 (0.26),0.23 (0.18),0.08 (0.27),0.15 (0.25),0.12 (0.24),0.06 (0.24),0.16 (0.20)
Pine,T6,0.11 (0.27),0.20 (0.25),0.20 (0.27),0.23 (0.24),0.13 (0.23),0.06 (0.21),0.14 (0.23),0.14 (0.24),0.14 (0.22),0.02 (0.21),0.12 (0.24),0.18 (0.23),0.20 (0.26),0.21 (0.27),0.08 (0.24),0.05 (0.29),0.12 (0.27),0.11 (0.28),0.08 (0.28),0.05 (0.25)
